,Bal,Brick,Dist,Floor,Kitsp,Livesp,Metrdist,New,Nfloors,Price,Rooms,Tel,Totsp,Walk,lat,lon
541,1.0,1.0,0.05420112815246598,5.0,9.0,38.0,6.0,0.0,14.0,15750000.0,2.0,0.0,56.5,0.0,55.766116,37.567051
542,0.0,1.0,0.057247645934129836,2.0,8.0,41.3,5,1.0,9,15752100.0,2,NA,58.1,1,55.774958,37.672971
543,1.0,1.0,0.057252292617853,2.0,NA,45.0,7,0.0,5,15752100.0,2,NA,58.1,1,55.774948,37.67298
544,0.0,1.0,0.05830257457437118,2.0,NA,58.1,7,0.0,5,15752100.0,2,0,58.1,1,55.77517,37.674022
545,0.0,1.0,0.03274789832951083,2.0,NA,NA,5,1.0,6,15799301.0,1,NA,45.8,1,55.731075,37.64348
546,0.0,1.0,0.01824967805195443,3.0,7.0,30.0,4,0.0,8,15800000.0,2,NA,46.0,1,55.743416,37.634883
547,1.0,0.0,0.05355628658710285,6.0,7.0,48.0,8.0,0.0,6.0,15820000.0,2.0,1.0,58.0,1.0,55.768041,37.56821
548,0.0,0.0,0.0331777141014886,3.0,NA,NA,8,1.0,7,15839192.0,1,NA,39.4,1,55.730857,37.643866
549,0.0,1.0,0.03405682875724323,4.0,NA,NA,13,1.0,5,15840000.0,2,NA,35.2,1,55.764425,37.65214
550,1.0,0.0,0.04843948853982449,7.0,8.0,39.0,10.0,0.0,12.0,15850000.0,3.0,0.0,64.0,1.0,55.740618,37.66645
551,0.0,0.0,0.057247645934129836,5.0,NA,NA,5,0.0,5,15900000.0,2,NA,65.0,1,55.774958,37.672971
552,1.0,1.0,0.0202068438158984,10.0,NA,33.0,7,0.0,13,15900000.0,2,NA,53.0,1,55.73741,37.631757
553,0.0,1.0,0.03299517643534986,5.0,8.0,37.6,5,1.0,7,15937100.0,1,NA,45.8,1,55.731551,37.644261
554,1.0,1.0,0.06211392465462509,7.0,10.0,33.0,10.0,0.0,7.0,15990000.0,2.0,0.0,57.5,1.0,55.757369,37.557807
555,0.0,0.0,0.0331777141014886,2.0,NA,NA,8,1.0,7,15992190.0,1,NA,42.1,1,55.730857,37.643866
556,0.0,0.0,0.01957837615840838,6.0,9.0,20.0,3,0.0,16,16000000.0,1,NA,35.0,1,55.734151,37.61892
557,1.0,1.0,0.03967372239909233,5.0,10.0,20.0,12.0,0.0,8.0,16000000.0,2.0,1.0,40.0,1.0,55.767944,37.582781
558,0.0,0.0,0.09315014641427084,2.0,NA,45.5,14,0.0,17,16000000.0,3,1,72.0,1,55.774153,37.710692
559,1.0,1.0,0.06838467960734991,2.0,10.0,43.0,7.0,0.0,12.0,16000000.0,3.0,1.0,70.0,1.0,55.775636,37.684587
560,1.0,0.0,0.020338415474173442,4.0,16.0,89.0,6.0,0.0,7.0,154537714.0,4.0,0.0,157.0,1.0,55.733371,37.619683
561,1.0,1.0,0.0331777141014886,4.0,NA,59.0,8,1.0,7,25200000.0,2,NA,59.0,0,55.730857,37.643866
562,0.0,0.0,0.04148557012986822,2.0,11.1,124.0,12,0.0,5,219089835.0,4,NA,164.0,1,55.738449,37.581236
563,0.0,1.0,0.02343168113900488,4.0,6.0,38.1,5.0,0.0,7.0,16000000.0,2.0,1.0,54.1,1.0,55.730294,37.618929
564,0.0,0.0,0.05265429464915752,2.0,NA,35.0,5,0.0,12,16000000.0,2,NA,60.0,1,55.766552,37.568749
565,1.0,0.0,0.051907676359091895,16.0,9.0,47.0,5,0.0,17,16000000.0,3,NA,69.0,1,55.734805,37.668156
566,1.0,1.0,0.039220592971041,5.0,12.0,28.0,15,0.0,8,16000000.0,2,NA,45.0,1,55.767732,37.583185
567,1.0,0.0,0.025529223450784726,9.0,8.4,29.1,1.0,0.0,14.0,16000000.0,2.0,1.0,54.0,1.0,55.728322,37.622504
568,0.0,1.0,0.03274789832951083,4.0,NA,NA,5,1.0,7,16147815.0,1,NA,39.4,1,55.731075,37.64348
569,1.0,1.0,0.05797668242491641,3.0,NA,NA,5,1.0,13,16171878.0,1,NA,52.5,1,55.742073,37.67661
570,0.0,1.0,0.06023227394843969,5.0,NA,43.5,2,0.0,6,16200000.0,3,0,65.0,1,55.724013,37.56741
571,0.0,1.0,0.03274789832951083,3.0,NA,NA,5,1.0,6,16241633.0,1,NA,45.6,1,55.731075,37.64348
572,0.0,1.0,0.039023187209656654,6.0,6.0,18.1,5,0.0,7,16300000.0,1,NA,36.4,1,55.745235,37.581721
573,0.0,1.0,0.04807354570863183,5.0,6.2,48.0,3.0,0.0,8.0,16300000.0,3.0,1.0,60.0,1.0,55.761183,37.572324
574,0.0,0.0,0.03727814621195453,4.0,NA,43.0,6,0.0,8,16300000.0,3,1,65.0,1,55.768881,37.653864
575,0.0,1.0,0.052986631162962955,2.0,NA,54.0,5,0.0,6,16300000.0,3,1,75.0,1,55.76246,37.567554
576,0.0,1.0,0.03274789832951083,4.0,NA,NA,5,1.0,6,16313369.0,1,NA,45.5,1,55.731075,37.64348
577,0.0,1.0,0.0566480030539497,2.0,NA,52.0,8,0.0,5,16390000.0,3,1,86.0,1,55.76679,37.67493
578,1.0,1.0,0.04081720643306947,5.0,11.2,32.0,7.0,0.0,13.0,16400000.0,2.0,1.0,53.1,1.0,55.736164,37.656667
579,0.0,1.0,0.03274789832951083,6.0,NA,NA,5,1.0,7,16416367.0,1,NA,37.8,1,55.731075,37.64348
580,0.0,0.0,0.0331777141014886,2.0,NA,NA,8,1.0,7,16465925.0,2,NA,48.2,1,55.730857,37.643866
581,1.0,1.0,0.05129029339943148,5.0,NA,75.0,9,0.0,5,16500000.0,4,1,105.0,1,55.774315,37.666782
582,0.0,1.0,0.022234228387779307,8.0,5.0,39.0,2,0.0,10,16500000.0,2,NA,59.0,1,55.773525,37.629897
583,1.0,0.0,0.040682929651142855,3.0,8.0,48.0,5.0,0.0,12.0,16500000.0,3.0,1.0,70.0,1.0,55.789826,37.638539
584,0.0,1.0,0.016824639312625393,2.0,NA,36.0,3,0.0,9,16500000.0,1,0,42.0,1,55.763067,37.605831
585,0.0,0.0,0.03438263265079958,3.0,12.0,37.4,5.0,0.0,8.0,16500000.0,2.0,1.0,62.2,1.0,55.723207,37.603945
